address_line,city,country_name,country_subdivision,country_urlname,global_rank,id,name,overall_rank_is_tied,rank,rank_is_tied,score,sort_label,url,urlname
"Kita-ku, Sapporo, Hokkaido","Kita-ku, Sapporo",Japan,Hokkaido,japan,412.0,501928,Hokkaido University,True,151,False,49.4,Subject Score,https://www.usnews.com/education/best-global-universities/hokkaido-university-501928,hokkaido-university
Seoul,Seoul,South Korea,,south-korea,827.0,503911,Konkuk University,True,155,False,49.0,Subject Score,https://www.usnews.com/education/best-global-universities/konkuk-university-503911,konkuk-university
Beijing,Beijing,China,,china,938.0,528815,Beijing Forestry University,True,157,False,48.8,Subject Score,https://www.usnews.com/education/best-global-universities/beijing-forestry-university-528815,beijing-forestry-university
Bangkok,Bangkok,Thailand,,thailand,1006.0,529012,Kasetsart University,True,161,True,48.1,Subject Score,https://www.usnews.com/education/best-global-universities/kasetsart-university-529012,kasetsart-university
Tianjin,Tianjin,China,,china,1358.0,529285,Tianjin University Science & Technology,True,163,True,47.7,Subject Score,https://www.usnews.com/education/best-global-universities/tianjin-university-science-technology-529285,tianjin-university-science-technology
Shanghai,Shanghai,China,,china,136.0,501915,Shanghai Jiao Tong University,True,165,True,47.5,Subject Score,https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915,shanghai-jiao-tong-university
"Yaan, Yucheng",Yaan,China,Yucheng,china,1215.0,529103,Sichuan Agricultural University,True,165,True,47.5,Subject Score,https://www.usnews.com/education/best-global-universities/sichuan-agricultural-university-529103,sichuan-agricultural-university
Beijing,Beijing,China,,china,332.0,506588,Beijing Normal University,True,169,True,46.8,Subject Score,https://www.usnews.com/education/best-global-universities/beijing-normal-university-506588,beijing-normal-university
İzmir,İzmir,Turkey,,turkey,914.0,500691,Ege University,True,169,True,46.8,Subject Score,https://www.usnews.com/education/best-global-universities/ege-university-500691,ege-university
Jerusalem,Jerusalem,Israel,,israel,222.0,500554,Hebrew University of Jerusalem,False,175,False,46.0,Subject Score,https://www.usnews.com/education/best-global-universities/hebrew-university-of-jerusalem-500554,hebrew-university-of-jerusalem
"Lanzhou, Gansu",Lanzhou,China,Gansu,china,571.0,502794,Lanzhou University,True,177,True,45.3,Subject Score,https://www.usnews.com/education/best-global-universities/lanzhou-university-502794,lanzhou-university
"Higashi-ku Fukuoka, Fukuoka",Higashi-ku Fukuoka,Japan,Fukuoka,japan,325.0,505482,Kyushu University,True,179,True,45.2,Subject Score,https://www.usnews.com/education/best-global-universities/kyushu-university-505482,kyushu-university
"Gwangju, Jeolla",Gwangju,South Korea,Jeolla,south-korea,630.0,503755,Chonnam National University,True,186,False,44.6,Subject Score,https://www.usnews.com/education/best-global-universities/chonnam-national-university-503755,chonnam-national-university
Taichung,Taichung,Taiwan,,taiwan,819.0,503180,China Medical University Taiwan,True,188,False,44.2,Subject Score,https://www.usnews.com/education/best-global-universities/china-medical-university-taiwan-503180,china-medical-university-taiwan
"Mashhad, Razavi Khorasan",Mashhad,Iran,Razavi Khorasan,iran,889.0,502854,Ferdowsi University Mashhad,True,191,False,43.8,Subject Score,https://www.usnews.com/education/best-global-universities/ferdowsi-university-mashhad-502854,ferdowsi-university-mashhad
Ludhiana,Ludhiana,India,,india,,529438,Punjab Agricultural University,,192,True,43.7,Subject Score,https://www.usnews.com/education/best-global-universities/punjab-agricultural-university-529438,punjab-agricultural-university
"Harbin, Heilongjiang",Harbin,China,Heilongjiang,china,1380.0,529520,Northeast Agricultural University - China,True,194,True,43.6,Subject Score,https://www.usnews.com/education/best-global-universities/northeast-agricultural-university-china-529520,northeast-agricultural-university-china
"Zhenjiang, Jiangsu",Zhenjiang,China,Jiangsu,china,1100.0,501438,Jiangsu University,True,196,False,43.5,Subject Score,https://www.usnews.com/education/best-global-universities/jiangsu-university-501438,jiangsu-university
Isfahan,Isfahan,Iran,,iran,595.0,502590,Isfahan University of Technology,True,197,True,43.4,Subject Score,https://www.usnews.com/education/best-global-universities/isfahan-university-of-technology-502590,isfahan-university-of-technology
Bangi Selangor,Bangi Selangor,Malaysia,,malaysia,638.0,506289,Universiti Kebangsaan Malaysia (UKM),True,197,True,43.4,Subject Score,https://www.usnews.com/education/best-global-universities/universiti-kebangsaan-malaysia-ukm-506289,universiti-kebangsaan-malaysia-ukm
"Changchun, Jilin",Changchun,China,Jilin,china,497.0,506709,Jilin University,True,201,False,42.6,Subject Score,https://www.usnews.com/education/best-global-universities/jilin-university-506709,jilin-university
Chongqing,Chongqing,China,,china,885.0,506024,Southwest University - China,True,202,True,42.4,Subject Score,https://www.usnews.com/education/best-global-universities/southwest-university-china-506024,southwest-university-china
Daegu,Daegu,South Korea,,south-korea,557.0,506312,Kyungpook National University,True,204,True,42.2,Subject Score,https://www.usnews.com/education/best-global-universities/kyungpook-national-university-506312,kyungpook-national-university
"Guangzhou, Guangdong",Guangzhou,China,Guangdong,china,914.0,505051,Jinan University,True,210,False,41.3,Subject Score,https://www.usnews.com/education/best-global-universities/jinan-university-505051,jinan-university
Daejeon,Daejeon,South Korea,,south-korea,992.0,502760,Chungnam National University,True,219,True,39.4,Subject Score,https://www.usnews.com/education/best-global-universities/chungnam-national-university-502760,chungnam-national-university
Yangzhou,Yangzhou,China,,china,1168.0,529253,Yangzhou University,True,219,True,39.4,Subject Score,https://www.usnews.com/education/best-global-universities/yangzhou-university-529253,yangzhou-university
Ankara,Ankara,Turkey,,turkey,624.0,503075,Ankara University,True,222,False,39.2,Subject Score,https://www.usnews.com/education/best-global-universities/ankara-university-503075,ankara-university
"Chengdu, Sichuan",Chengdu,China,Sichuan,china,469.0,506145,Sichuan University,True,224,False,38.8,Subject Score,https://www.usnews.com/education/best-global-universities/sichuan-university-506145,sichuan-university
Erzurum,Erzurum,Turkey,,turkey,1168.0,500132,Ataturk University,True,229,False,37.8,Subject Score,https://www.usnews.com/education/best-global-universities/ataturk-university-500132,ataturk-university
Adana,Adana,Turkey,,turkey,815.0,528939,Cukurova University,True,233,False,36.8,Subject Score,https://www.usnews.com/education/best-global-universities/cukurova-university-528939,cukurova-university
Seoul,Seoul,South Korea,,south-korea,893.0,500565,Chung Ang University,True,238,False,35.8,Subject Score,https://www.usnews.com/education/best-global-universities/chung-ang-university-500565,chung-ang-university
"Jinju City, South Gyeongsang ",Jinju City,South Korea,South Gyeongsang ,south-korea,904.0,500897,Gyeongsang National University,True,242,False,35.3,Subject Score,https://www.usnews.com/education/best-global-universities/gyeongsang-national-university-500897,gyeongsang-national-university
Taichung,Taichung,Taiwan,,taiwan,1014.0,506137,National Chung Hsing University,True,246,False,33.6,Subject Score,https://www.usnews.com/education/best-global-universities/national-chung-hsing-university-506137,national-chung-hsing-university
Seoul,Seoul,South Korea,,south-korea,553.0,501161,Kyung Hee University,True,247,False,33.2,Subject Score,https://www.usnews.com/education/best-global-universities/kyung-hee-university-501161,kyung-hee-university
